('7487750514361257271', 'https://v45.tiktokcdn.com/478dacdae7a2782321f670d570a5f138/67ec1af0/video/tos/useast2a/tos-useast2a-pve-0068/oIXMReQlIEEGDGEBd1nEpDYB6EXvJvNfQA3FvR/?a=1233&bti=M0BzMzU8OGYpNzo5Zi5wIzEuLjpkNDQwOg%3D%3D&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=1466&bt=733&cs=0&ds=6&ft=XsF-_qq2m0nPD12_w1kJ3wUr2VGgaeF~O5&mime_type=video_mp4&qs=0&rc=NjM1ZmY1NTg1aDpkaDQ5OUBpajd0dXg5cm13eTMzNzczM0A1XjJfMzFgNl4xLjVhNjZeYSNmcmxvMmQ0NWhgLS1kMTZzcw%3D%3D&vvpl=1&l=2025040100563349D967BE105AAC26B175&btag=e0008d000', 'tamquandeoo23')
('7487578758338186501', 'https://v45.tiktokcdn.com/b52f7b2604095cb283e01a87929cff26/67ec1ad0/video/tos/useast2a/tos-useast2a-ve-0068c004/og3BkoDWFC3l6cSqRRfoABBEvlkQIJgfQnTDnE/?a=1233&bti=M0BzMzU8OGYpNzo5Zi5wIzEuLjpkNDQwOg%3D%3D&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=1244&bt=622&cs=0&ds=6&ft=XsF-_qq2m0nPD12_w1kJ3wUr2VGgaeF~O5&mime_type=video_mp4&qs=0&rc=OTw1ZzY4NztlNDYzOTdlZ0BpM3U7cmw5cjxteTMzNzczM0AvXmBeYDZjXi0xX2EtYzNhYSNuLmJvMmRjZmhgLS1kMTZzcw%3D%3D&vvpl=1&l=2025040100563349D967BE105AAC26B175&btag=e000bd000', 'tamquandeoo23')
('7487253528843488567', 'https://v45.tiktokcdn.com/12d73d6b8939dc4380be5a18be2ec469/67ec1acf/video/tos/useast2a/tos-useast2a-ve-0068c003/o0ICoizqAAAXgkBnEfY7hkPoi3ENu93NwziAIX/?a=1233&bti=M0BzMzU8OGYpNzo5Zi5wIzEuLjpkNDQwOg%3D%3D&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=1076&bt=538&cs=0&ds=6&ft=XsF-_qq2m0nPD12_w1kJ3wUr2VGgaeF~O5&mime_type=video_mp4&qs=0&rc=aGQ1ZGgzOGQ5NjdmZjQ6OUBpM3FtNnE5cjk0eTMzNzczM0A1MzUtLTM2NmIxLV8uYDE0YSNrLWBpMmRzL2hgLS1kMTZzcw%3D%3D&vvpl=1&l=2025040100563349D967BE105AAC26B175&btag=e000b5000', 'tamquandeoo23')
('7487150846367534391', 'https://v45.tiktokcdn.com/2c6aed84cad8315803640136ceb6dc3c/67ec1acf/video/tos/useast2a/tos-useast2a-ve-0068c004/o0ICPACc7JgfvEInH5FfBBQr9aW5O6QBRCDsEV/?a=1233&bti=M0BzMzU8OGYpNzo5Zi5wIzEuLjpkNDQwOg%3D%3D&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=1658&bt=829&cs=0&ds=6&ft=XsF-_qq2m0nPD12_w1kJ3wUr2VGgaeF~O5&mime_type=video_mp4&qs=0&rc=OTk3MzhpPDwzNjU8ODdlNUBpanh4PHA5cjh1eTMzNzczM0BiLjBiLWMzXzAxYjJeLi4vYSNyLy8tMmRjNGdgLS1kMTZzcw%3D%3D&vvpl=1&l=2025040100563349D967BE105AAC26B175&btag=e000b5000', 'tamquandeoo23')
('7486895185914383622', 'https://v45.tiktokcdn.com/be99f89b43d6d10b23b21d12841c808c/67ec1ad0/video/tos/useast2a/tos-useast2a-pve-0068/okNtIJZ8UDA4yUBzosF5BRnQTEeQXB55ELfjmE/?a=1233&bti=M0BzMzU8OGYpNzo5Zi5wIzEuLjpkNDQwOg%3D%3D&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=1778&bt=889&cs=0&ds=6&ft=XsF-_qq2m0nPD12_w1kJ3wUr2VGgaeF~O5&mime_type=video_mp4&qs=0&rc=OzpkaGlmaTRnZTs4Njc6ZkBpanFxNXY5cm9meTMzNzczM0BgLmAyNWFiXzQxXzU0X18uYSNgcGRzMmQ0amdgLS1kMTZzcw%3D%3D&vvpl=1&l=2025040100563349D967BE105AAC26B175&btag=e000bd000', 'tamquandeoo23')
('7486808730353356087', 'https://v45.tiktokcdn.com/17dff89d4a729a5325ccf553ad782208/67ec1ada/video/tos/useast2a/tos-useast2a-ve-0068c001/oIfnnBIuygDlQ8AzQ83EB4RM6JFOR5JEuEtafA/?a=1233&bti=M0BzMzU8OGYpNzo5Zi5wIzEuLjpkNDQwOg%3D%3D&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=1286&bt=643&cs=0&ds=6&ft=XsF-_qq2m0nPD12_w1kJ3wUr2VGgaeF~O5&mime_type=video_mp4&qs=0&rc=ZmhoNjw4PGhpaTRmNzRlZ0BpajdzbHE5cmY6eTMzNzczM0AvY2IwYDIyXmExLi5gYjE0YSNyMjQzMmRzbWdgLS1kMTZzcw%3D%3D&vvpl=1&l=2025040100563349D967BE105AAC26B175&btag=e000bd000', 'tamquandeoo23')
('7486542636216585479', 'https://v45.tiktokcdn.com/06d96f0315baf98287e4422e0f9ec35f/67ec1acf/video/tos/alisg/tos-alisg-pve-0037c001/ocfylzaAAQAiIFwA1jB9qzEu8IBVMiI2si8CDw/?a=1233&bti=M0BzMzU8OGYpNzo5Zi5wIzEuLjpkNDQwOg%3D%3D&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=1290&bt=645&cs=0&ds=6&ft=XsF-_qq2m0nPD12_w1kJ3wUr2VGgaeF~O5&mime_type=video_mp4&qs=0&rc=NWhmPDkzaDdpaWk4aGQ5ZUBpM3c7Zm85cmdyeTMzODczNEAtNjM0XjJjNTQxMWBiMy8zYSNyXzMtMmRjaWZgLS1kMTFzcw%3D%3D&vvpl=1&l=2025040100563349D967BE105AAC26B175&btag=e000b5000', 'tamquandeoo23')
('7486390500048571655', 'https://v45.tiktokcdn.com/8cb9ae03ea52f252f01657e946522f0b/67ec1ad3/video/tos/alisg/tos-alisg-pve-0037c001/ocqBDViziLmOEIiwz4EAGAofqA4IAmC8lIAQiw/?a=1233&bti=M0BzMzU8OGYpNzo5Zi5wIzEuLjpkNDQwOg%3D%3D&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=800&bt=400&cs=0&ds=6&ft=XsF-_qq2m0nPD12_w1kJ3wUr2VGgaeF~O5&mime_type=video_mp4&qs=0&rc=MzQ3ZGhpPDY7NTg4ZTw3NkBpajd1O3I5cm1qeTMzODczNEAyNWE0M2NhNS0xM15iMDIuYSMuLWRpMmRjLWZgLS1kMTFzcw%3D%3D&vvpl=1&l=2025040100563349D967BE105AAC26B175&btag=e000bd000', 'tamquandeoo23')
('7486261263945714952', 'https://v45.tiktokcdn.com/9920727595f71145ca13ea17bbd19385/67ec1ad4/video/tos/alisg/tos-alisg-pve-0037c001/o8AkIkm3zIqBCRA1iA8iuPUiEFBQVTAXHwflwU/?a=1233&bti=M0BzMzU8OGYpNzo5Zi5wIzEuLjpkNDQwOg%3D%3D&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=1088&bt=544&cs=0&ds=6&ft=XsF-_qq2m0nPD12_w1kJ3wUr2VGgaeF~O5&mime_type=video_mp4&qs=0&rc=aWY0ZTk2PDM1OTw4ODY6OUBpMzNvb285cjY7eTMzODczNEAuX2JgX2A2XzIxYjNjMy0zYSNnYi1eMmRzaGZgLS1kMTFzcw%3D%3D&vvpl=1&l=2025040100563349D967BE105AAC26B175&btag=e000bd000', 'tamquandeoo23')
('7486176035675933960', 'https://v45.tiktokcdn.com/ad1c07679269c6d11557f55502f56a40/67ec1ad2/video/tos/alisg/tos-alisg-pve-0037c001/ooA9PnxDfABMQeDvEYMk0IEgBFRCD5PCYUEIBX/?a=1233&bti=M0BzMzU8OGYpNzo5Zi5wIzEuLjpkNDQwOg%3D%3D&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=2616&bt=1308&cs=0&ds=6&ft=XsF-_qq2m0nPD12_w1kJ3wUr2VGgaeF~O5&mime_type=video_mp4&qs=0&rc=NDU4MzhoMzhnNGk5MzVmN0BpajM4Ong5cmU2eTMzODczNEBgYS1fM2M0X2MxX18zMGAxYSNfZGRmMmRzbmZgLS1kMTFzcw%3D%3D&vvpl=1&l=2025040100563349D967BE105AAC26B175&btag=e000bd000', 'tamquandeoo23')
('7485693851429113096', 'https://v45.tiktokcdn.com/dfe6b8fe384f200f320e04f9ee1f5fe4/67ec1ad5/video/tos/alisg/tos-alisg-pve-0037c001/ogb4UIREDxTaoBhegEfvAoQSoFU4BnBEK7qR0i/?a=1233&bti=M0BzMzU8OGYpNzo5Zi5wIzEuLjpkNDQwOg%3D%3D&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=1022&bt=511&cs=0&ds=6&ft=XsF-_qq2m0nPD12_w1kJ3wUr2VGgaeF~O5&mime_type=video_mp4&qs=0&rc=aGdlN2ZoO2U6NTRmOTNnZkBpM3g2Onc5cjc7eTMzODczNEAwMDIzMS5hXjMxNWMvNF8uYSNpNTBpMmRjYWVgLS1kMTFzcw%3D%3D&vvpl=1&l=2025040100563349D967BE105AAC26B175&btag=e000bd000', 'tamquandeoo23')
